fold,store_id,sku_id,model,mae,mape
20250303_20250310,S02,SKU001,seasonal_naive,62.5,158.29695324033304
20250303_20250310,S02,SKU001,sarimax,62.5,158.29695324033304
20250303_20250310,S02,SKU001,lgbm,52.95190137776849,141.153535853026
20250303_20250310,S02,SKU002,naive,69.5,165.55814425593942
20250303_20250310,S02,SKU002,seasonal_naive,60.25,161.12677839595207
20250303_20250310,S02,SKU002,sarimax,60.25,161.12677839595207
20250303_20250310,S02,SKU002,lgbm,68.63442991775607,167.03902377113516
20250303_20250310,S02,SKU003,naive,53.25,175.57105651144403
20250303_20250310,S02,SKU003,seasonal_naive,70.25,193.76953068835587
20250303_20250310,S02,SKU003,sarimax,70.25,193.76953068835587
20250303_20250310,S02,SKU003,lgbm,60.683652517590815,176.12572237746363
20250303_20250310,S02,SKU004,naive,64.75,165.53501657073087
20250303_20250310,S02,SKU004,seasonal_naive,64.0,167.3615548783616
20250303_20250310,S02,SKU004,sarimax,64.0,167.3615548783616
20250303_20250310,S02,SKU004,lgbm,61.25053887924726,170.25709251789792
20250303_20250310,S02,SKU005,naive,70.75,179.49797799641985
20250303_20250310,S02,SKU005,seasonal_naive,83.75,196.8397130580233
20250303_20250310,S02,SKU005,sarimax,83.75,196.8397130580233
20250303_20250310,S02,SKU005,lgbm,70.515195411504,194.7410951464424
20250303_20250310,S03,SKU001,naive,58.75,207.6280515908437
20250303_20250310,S03,SKU001,seasonal_naive,64.0,208.2525234985366
20250303_20250310,S03,SKU001,sarimax,64.0,208.2525234985366
20250303_20250310,S03,SKU001,lgbm,62.31100774226533,213.01180097424512
20250303_20250310,S03,SKU002,naive,55.75,175.03294299308178
20250303_20250310,S03,SKU002,seasonal_naive,52.75,174.53168502943709
20250303_20250310,S03,SKU002,sarimax,52.75,174.53168502943709
20250303_20250310,S03,SKU002,lgbm,60.014271453902126,180.5037997646247
20250303_20250310,S03,SKU003,naive,82.25,164.69897510745236
20250303_20250310,S03,SKU003,seasonal_naive,82.25,153.8346583522616
20250303_20250310,S03,SKU003,sarimax,82.25,153.8346583522616
20250303_20250310,S03,SKU003,lgbm,82.25,158.33405815735662
20250303_20250310,S03,SKU004,naive,77.75,156.51271063293882
20250303_20250310,S03,SKU004,seasonal_naive,87.0,156.96379323599078
20250303_20250310,S03,SKU004,sarimax,87.0,156.96379323599078
20250303_20250310,S03,SKU004,lgbm,81.02628876603488,155.08165439547938
20250303_20250310,S03,SKU005,naive,65.5,157.50265763966053
20250303_20250310,S03,SKU005,seasonal_naive,63.5,166.58220843856185
20250303_20250310,S03,SKU005,sarimax,63.5,166.58220843856185
20250303_20250310,S03,SKU005,lgbm,56.65363547095549,162.270120738661
